cluster1	interaction	cluster2
2.0.0	child	2.0.0.56
2.0.0	child	2.0.0.57
2.0	child	2.0.1
2.0.1	child	2.0.1.0
2.0.1	child	2.0.1.1
2.0.1	child	2.0.1.2
2.0.1	child	2.0.1.3
2.0.1	child	2.0.1.4
2.0	child	2.0.2
2.0.2	child	2.0.2.0
2.0	child	2.0.3
2.0.3	child	2.0.3.0
2.0.3	child	2.0.3.1
2.0.3	child	2.0.3.2
2.0.3	child	2.0.3.3
2.0.3	child	2.0.3.4
2.0.3	child	2.0.3.5
2.0	child	2.0.4
2.0.4	child	2.0.4.0
2.0	child	2.0.5
2.0.5	child	2.0.5.0
2.0.5	child	2.0.5.1
2.0	child	2.0.6
2.0.6	child	2.0.6.0
2.0.6	child	2.0.6.1
2.0.6	child	2.0.6.2
2.0	child	2.0.7
2.0	child	2.0.8
2.0	child	2.0.9
2.0	child	2.0.10
2.0	child	2.0.11
2.0	child	2.0.12
2.0	child	2.0.13
2	child	2.1
2.1	child	2.1.0
2.1.0	child	2.1.0.0
2.1.0	child	2.1.0.1
2.1.0	child	2.1.0.2
2.1.0	child	2.1.0.3
2.1.0	child	2.1.0.4
2.1.0	child	2.1.0.5
2.1.0	child	2.1.0.6
2.1.0	child	2.1.0.7
2.1.0	child	2.1.0.8
2.1.0	child	2.1.0.9
2.1.0	child	2.1.0.10
2.1.0	child	2.1.0.11
2.1.0	child	2.1.0.12
2.1	child	2.1.1
2.1.1	child	2.1.1.0
2.1	child	2.1.2
2	child	2.2
2.2	child	2.2.0
2.2.0	child	2.2.0.0
2.2.0	child	2.2.0.1
2.2.0	child	2.2.0.2
2.2.0	child	2.2.0.3
2.2.0	child	2.2.0.4
2.2.0	child	2.2.0.5
2.2.0	child	2.2.0.6
2.2.0	child	2.2.0.7
2.2.0	child	2.2.0.8
2.2.0	child	2.2.0.9
2.2.0	child	2.2.0.10
2.2.0	child	2.2.0.11
2.2.0	child	2.2.0.12
2.2.0	child	2.2.0.13
2.2.0	child	2.2.0.14
2.2.0	child	2.2.0.15
2.2.0	child	2.2.0.16
2.2.0	child	2.2.0.17
